abandoned_at_ordering,abandoned_at_seating,average_ordering_wait_time,average_wait_time,description,kind,longest_queue_length,max_queue_length_queue_1_2,max_queue_length_queue_3_4,max_queue_length_queue_5plus,max_queue_length_queue_all,max_wait_time,min_wait_time,output_file,pair_id,peak_ordering_queue_length,peak_seating_queue_length,rejected_groups,reservation_groups_served,reservation_no_shows,reservation_tables_released,run_id,scenario_file,seed,served_groups,server_utilization_rate,service_level_rate,table_utilization_rate,table_utilization_size_2,table_utilization_size_4,table_utilization_size_6
0.0,14.0,0.07692307692307693,17.076923076923077,Ordering configuration x patience.,factorial,15.0,,,,14.0,38.0,3.0,outputs/v2/F3/F3_D_seed999.txt,F3,1.0,14.0,14.0,0.0,0.0,0.0,D,outputs/v2/F3/F3_D_seed999.json,999,26.0,0.20266990291262135,0.5384615384615384,0.6235997012696042,0.574757281553398,0.6432038834951457,0.6868932038834952
5.0,11.0,0.4166666666666667,5.083333333333333,Server count x patience.,factorial,6.0,,,,5.0,16.0,2.0,outputs/v2/F4/F4_A_seed42.txt,F4,3.0,5.0,16.0,0.0,0.0,0.0,A,outputs/v2/F4/F4_A_seed42.json,42,24.0,0.3255208333333333,1.0,0.5941506410256411,0.5947916666666667,0.6024305555555556,0.5677083333333334
1.0,15.0,0.0,4.458333333333333,Server count x patience.,factorial,6.0,,,,6.0,16.0,2.0,outputs/v2/F4/F4_B_seed42.txt,F4,1.0,6.0,16.0,0.0,0.0,0.0,B,outputs/v2/F4/F4_B_seed42.json,42,24.0,0.16321243523316062,1.0,0.5910721402949383,0.5917098445595855,0.5993091537132987,0.5647668393782384
0.0,12.0,0.5,14.714285714285714,Server count x patience.,factorial,13.0,,,,12.0,40.0,2.0,outputs/v2/F4/F4_C_seed42.txt,F4,2.0,12.0,12.0,0.0,0.0,0.0,C,outputs/v2/F4/F4_C_seed42.json,42,28.0,0.2816593886462882,0.5714285714285714,0.596573731944911,0.6314410480349345,0.5342066957787481,0.6965065502183406
0.0,12.0,0.0,14.321428571428571,Server count x patience.,factorial,13.0,,,,13.0,43.0,2.0,outputs/v2/F4/F4_D_seed42.txt,F4,0.0,13.0,12.0,0.0,0.0,0.0,D,outputs/v2/F4/F4_D_seed42.json,42,28.0,0.15579710144927536,0.5714285714285714,0.6521739130434783,0.6985507246376812,0.5909822866344605,0.7198067632850241
9.0,11.0,0.6,5.05,Server count x patience.,factorial,7.0,,,,6.0,14.0,2.0,outputs/v2/F4/F4_A_seed123.txt,F4,4.0,6.0,20.0,0.0,0.0,0.0,A,outputs/v2/F4/F4_A_seed123.json,123,20.0,0.28055555555555556,1.0,0.544017094017094,0.6055555555555555,0.5203703703703704,0.46111111111111114
5.0,15.0,0.0,4.5,Server count x patience.,factorial,9.0,,,,8.0,14.0,2.0,outputs/v2/F4/F4_B_seed123.txt,F4,2.0,8.0,20.0,0.0,0.0,0.0,B,outputs/v2/F4/F4_B_seed123.json,123,20.0,0.15921787709497207,1.0,0.5560807907176623,0.6089385474860335,0.542830540037244,0.46368715083798884
0.0,15.0,1.52,15.0,Server count x patience.,factorial,16.0,,,,14.0,44.0,2.0,outputs/v2/F4/F4_C_seed123.txt,F4,4.0,14.0,15.0,0.0,0.0,0.0,C,outputs/v2/F4/F4_C_seed123.json,123,25.0,0.3131578947368421,0.64,0.6340080971659919,0.6852631578947368,0.6114035087719298,0.5736842105263158
0.0,14.0,0.0,14.692307692307692,Server count x patience.,factorial,16.0,,,,16.0,42.0,2.0,outputs/v2/F4/F4_D_seed123.txt,F4,0.0,16.0,14.0,0.0,0.0,0.0,D,outputs/v2/F4/F4_D_seed123.json,123,26.0,0.14727722772277227,0.6153846153846154,0.6245239908606245,0.6445544554455446,0.6361386138613861,0.5396039603960396
4.0,16.0,0.4,7.15,Server count x patience.,factorial,8.0,,,,6.0,20.0,2.0,outputs/v2/F4/F4_A_seed999.txt,F4,2.0,6.0,20.0,0.0,0.0,0.0,A,outputs/v2/F4/F4_A_seed999.json,999,20.0,0.3693181818181818,1.0,0.5541958041958042,0.5068181818181818,0.5946969696969697,0.5511363636363636
2.0,18.0,0.0,6.75,Server count x patience.,factorial,8.0,,,,7.0,20.0,2.0,outputs/v2/F4/F4_B_seed999.txt,F4,1.0,7.0,20.0,0.0,0.0,0.0,B,outputs/v2/F4/F4_B_seed999.json,999,20.0,0.1875,1.0,0.5541958041958042,0.5068181818181818,0.6401515151515151,0.4147727272727273
0.0,14.0,0.9615384615384616,15.346153846153847,Server count x patience.,factorial,14.0,,,,13.0,34.0,2.0,outputs/v2/F4/F4_C_seed999.txt,F4,3.0,13.0,14.0,0.0,0.0,0.0,C,outputs/v2/F4/F4_C_seed999.json,999,26.0,0.34974093264248707,0.5769230769230769,0.6656038262255879,0.6963730569948187,0.6390328151986183,0.6683937823834197
0.0,14.0,0.038461538461538464,15.615384615384615,Server count x patience.,factorial,14.0,,,,13.0,36.0,2.0,outputs/v2/F4/F4_D_seed999.txt,F4,1.0,13.0,14.0,0.0,0.0,0.0,D,outputs/v2/F4/F4_D_seed999.json,999,26.0,0.16304347826086957,0.5384615384615384,0.6179858788554441,0.5951690821256038,0.6400966183574879,0.6086956521739131
0.0,15.0,0.0,12.0,Reservation policy x table scarcity.,factorial,17.0,5.0,6.0,6.0,,47.0,3.0,outputs/v2/F5/F5_A_seed42.txt,F5,0.0,17.0,15.0,0.0,0.0,0.0,A,outputs/v2/F5/F5_A_seed42.json,42,17.0,0.1495176848874598,0.8235294117647058,0.4662379421221865,0.5331189710610933,0.422508038585209,0.42765273311897106
0.0,14.0,0.0,13.166666666666666,Reservation policy x table scarcity.,factorial,17.0,5.0,6.0,6.0,,54.0,0.0,outputs/v2/F5/F5_B_seed42.txt,F5,0.0,15.0,14.0,6.0,0.0,0.0,B,outputs/v2/F5/F5_B_seed42.json,42,18.0,0.09203296703296704,0.7777777777777778,0.4230769230769231,0.4554945054945055,0.3912087912087912,0.42216117216117216
0.0,20.0,0.0,14.5,Reservation policy x table scarcity.,factorial,17.0,5.0,7.0,6.0,,46.0,3.0,outputs/v2/F5/F5_C_seed42.txt,F5,0.0,17.0,20.0,0.0,0.0,0.0,C,outputs/v2/F5/F5_C_seed42.json,42,12.0,0.1495176848874598,0.75,0.5196945337620579,0.5755627009646302,0.5380493033226152,0.40836012861736337
0.0,20.0,0.0,13.083333333333334,Reservation policy x table scarcity.,factorial,17.0,5.0,6.0,6.0,,44.0,0.0,outputs/v2/F5/F5_D_seed42.txt,F5,0.0,14.0,20.0,4.0,0.0,0.0,D,outputs/v2/F5/F5_D_seed42.json,42,12.0,0.10841423948220065,0.75,0.5335760517799353,0.4843581445523193,0.6364617044228694,0.45307443365695793
0.0,15.0,0.058823529411764705,14.352941176470589,Reservation policy x table scarcity.,factorial,12.0,5.0,3.0,4.0,,63.0,3.0,outputs/v2/F5/F5_A_seed123.txt,F5,1.0,12.0,15.0,0.0,0.0,0.0,A,outputs/v2/F5/F5_A_seed123.json,123,17.0,0.1353211009174312,0.7647058823529411,0.442484121383204,0.44097859327217126,0.3889908256880734,0.5341488277268094
0.0,14.0,0.0,13.555555555555555,Reservation policy x table scarcity.,factorial,14.0,6.0,3.0,5.0,,66.0,0.0,outputs/v2/F5/F5_B_seed123.txt,F5,0.0,11.0,14.0,6.0,0.0,0.0,B,outputs/v2/F5/F5_B_seed123.json,123,18.0,0.09264705882352942,0.8333333333333334,0.4409502262443439,0.42411764705882354,0.4388235294117647,0.4725490196078431
0.0,21.0,0.09090909090909091,17.181818181818183,Reservation policy x table scarcity.,factorial,16.0,6.0,5.0,5.0,,63.0,4.0,outputs/v2/F5/F5_C_seed123.txt,F5,1.0,16.0,21.0,0.0,0.0,0.0,C,outputs/v2/F5/F5_C_seed123.json,123,11.0,0.13288288288288289,0.7272727272727273,0.46621621621621623,0.46846846846846846,0.33733733733733734,0.6561561561561562
0.0,19.0,0.0,20.53846153846154,Reservation policy x table scarcity.,factorial,17.0,7.0,4.0,6.0,,66.0,0.0,outputs/v2/F5/F5_D_seed123.txt,F5,0.0,13.0,19.0,4.0,0.0,0.0,D,outputs/v2/F5/F5_D_seed123.json,123,13.0,0.09264705882352942,0.6923076923076923,0.5213235294117647,0.4588235294117647,0.5392156862745098,0.5882352941176471
0.0,16.0,0.875,14.1875,Reservation policy x table scarcity.,factorial,12.0,2.0,3.0,7.0,,56.0,4.0,outputs/v2/F5/F5_A_seed999.txt,F5,3.0,12.0,16.0,0.0,0.0,0.0,A,outputs/v2/F5/F5_A_seed999.json,999,16.0,0.15194610778443113,0.875,0.4272224781206817,0.3341317365269461,0.5,0.46107784431137727
0.0,16.0,0.0625,10.9375,Reservation policy x table scarcity.,factorial,12.0,3.0,3.0,7.0,,50.0,0.0,outputs/v2/F5/F5_B_seed999.txt,F5,1.0,11.0,16.0,6.0,0.0,0.0,B,outputs/v2/F5/F5_B_seed999.json,999,16.0,0.11356707317073171,0.875,0.42331144465290804,0.35548780487804876,0.4676829268292683,0.46239837398373984
